Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
TNNT2	gene	TNNT2	Expert Review Green;Victorian Clinical Genetics Services	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Cardiomyopathy, dilated, 1D, MIM# 601494;Cardiomyopathy, hypertrophic, 2, MIM# 115195;Cardiomyopathy, familial restrictive, 3, MIM# 612422;Left ventricular noncompaction 6, MIM# 601494				33947203;11106718;20978592;20031601;15542288;17556660;30681346		False	3	100;0;0	0.430	True		ENSG00000118194	ENSG00000118194	HGNC:11949													
TP53	gene	TP53	Expert Review Green;Melbourne Genomics Health Alliance;Victorian Clinical Genetics Services	Incidentalome			Unknown							False	3	100;0;0	0.430	False		ENSG00000141510	ENSG00000141510	HGNC:11998													
TPM1	gene	TPM1	Expert Review Green;Victorian Clinical Genetics Services	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Cardiomyopathy, dilated, 1Y, MIM# 611878;Cardiomyopathy, hypertrophic, 3, MIM# 115196				11273725;23147248;20117437;15249230;20215591;21483645;31983221;28600229		False	3	100;0;0	0.430	True		ENSG00000140416	ENSG00000140416	HGNC:12010													
TRIM28	gene	TRIM28	Expert Review Green;Literature	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Wilm's tumour				30694527		False	3	100;0;0	0.430	True		ENSG00000130726	ENSG00000130726	HGNC:16384													
TSC1	gene	TSC1	Expert Review Green;Melbourne Genomics Health Alliance;Victorian Clinical Genetics Services	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Tuberous sclerosis-1, MIM# 191100						False	3	100;0;0	0.430	True		ENSG00000165699	ENSG00000165699	HGNC:12362													
TSC2	gene	TSC2	Expert Review Green;Melbourne Genomics Health Alliance;Victorian Clinical Genetics Services	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Tuberous sclerosis-2, MIM# 613254						False	3	100;0;0	0.430	True		ENSG00000103197	ENSG00000103197	HGNC:12363													
TTN	gene	TTN	Expert Review Green;Victorian Clinical Genetics Services	Incidentalome			BOTH monoallelic and biallelic, autosomal or pseudoautosomal					25589632;28045975;22335739;33947203		False	3	67;33;0	0.430	True		ENSG00000155657	ENSG00000155657	HGNC:12403													
UBQLN2	gene	UBQLN2	Expert Review Green;Victorian Clinical Genetics Services	Incidentalome			X-LINKED: hemizygous mutation in males, biallelic mutations in females	Amyotrophic lateral sclerosis 15, with or without frontotemporal dementia (MONDO: 0010459;MIM#300857)				21857683;31319884;26152284;25388785		False	3	0;100;0	0.430	True		ENSG00000188021	ENSG00000188021	HGNC:12509													
UCHL1	gene	UCHL1	Expert Review Green;Expert Review Red;Victorian Clinical Genetics Services	Incidentalome			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Spastic paraplegia 79A, autosomal dominant, MIM# 620221;Spastic paraplegia 79, autosomal recessive, MIM# 615491;MONDO:0014209;Neurodegenerative disease, MONDO:0005559, UCHL1-related				23359680;3340629;28007905;32656641;29735986;28007905;35986737		False	3	50;0;50	0.430	True		ENSG00000154277	ENSG00000154277	HGNC:12513													
VAPB	gene	VAPB	Expert Review Green;Expert Review Red;Victorian Clinical Genetics Services	Incidentalome			Unknown							False	3	0;50;50	0.430	False		ENSG00000124164	ENSG00000124164	HGNC:12649													
