Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
HSPB8	gene	HSPB8	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Charcot-Marie-Tooth disease, axonal, type 2L						False	3	0;0;0	0.280	False		ENSG00000152137	ENSG00000152137	HGNC:30171													
HSPG2	gene	HSPG2	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Schwartz-Jampel syndrome						False	3	0;0;0	0.280	False		ENSG00000142798	ENSG00000142798	HGNC:5273													
HTRA1	gene	HTRA1	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	CARASIL syndrome						False	3	0;0;0	0.280	False		ENSG00000166033	ENSG00000166033	HGNC:9476													
IDS	gene	IDS	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Mucopolysaccharidosis II						False	3	0;0;0	0.280	False		ENSG00000010404	ENSG00000010404	HGNC:5389													
IDUA	gene	IDUA	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Mucopolysaccharidosis Ih						False	3	0;0;0	0.280	False		ENSG00000127415	ENSG00000127415	HGNC:5391													
IGHMBP2	gene	IGHMBP2	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Spinal muscular atrophy with respiratory distress						False	3	0;0;0	0.280	False		ENSG00000132740	ENSG00000132740	HGNC:5542													
IGSF1	gene	IGSF1	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Central hypothyroidism and testicular enlargement						False	3	0;0;0	0.280	False		ENSG00000147255	ENSG00000147255	HGNC:5948													
IKBKG	gene	IKBKG	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Incontinentia pigmenti 1						False	3	0;0;0	0.280	False		ENSG00000073009	ENSG00000269335	HGNC:5961													
IL10RA	gene	IL10RA	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Inflammatory bowel disease						False	3	0;0;0	0.280	False		ENSG00000110324	ENSG00000110324	HGNC:5964													
IL2RG	gene	IL2RG	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Severe combined immunodeficiency, X-linked						False	3	0;0;0	0.280	False		ENSG00000147168	ENSG00000147168	HGNC:6010													
IL7R	gene	IL7R	Expert list;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Severe combined immunodeficiency, T-cell negative, B-cell/natural killer cell-positive type MIM#608971						False	3	100;0;0	0.280	True		ENSG00000168685	ENSG00000168685	HGNC:6024													
ILDR1	gene	ILDR1	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Deafness, autosomal recessive						False	3	0;0;0	0.280	False		ENSG00000145103	ENSG00000145103	HGNC:28741													
INS	gene	INS	Expert list;Expert Review Green	Additional findings_Paediatric		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Diabetes mellitus, permanent neonatal MIM# 618858Permanent neonatal diabetes mellitus-4 (PNDM4) is characterized by chronic hyperglycemia due to severe nonautoimmune insulin deficiency diagnosed in the first months of life						False	3	100;0;0	0.280	True		ENSG00000254647	ENSG00000254647	HGNC:6081													
INSR	gene	INSR	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Leprechaunism						False	3	0;0;0	0.280	False		ENSG00000171105	ENSG00000171105	HGNC:6091													
INVS	gene	INVS	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Nephronophthisis 2						False	3	0;0;0	0.280	False		ENSG00000119509	ENSG00000119509	HGNC:17870													
IQCB1	gene	IQCB1	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Senior-Loken syndrome 5						False	3	0;0;0	0.280	False		ENSG00000173226	ENSG00000173226	HGNC:28949													
IRF6	gene	IRF6	BabySeq Category A gene;BabySeq Category C gene;Expert Review Green	Additional findings_Paediatric		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	van der Woude syndrome MIM# 119300						False	3	100;0;0	0.280	True		ENSG00000117595	ENSG00000117595	HGNC:6121													
ISPD	gene	ISPD	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 7						False	3	0;0;0	0.280	False		ENSG00000214960	ENSG00000214960	HGNC:37276													
ITGA3	gene	ITGA3	BabySeq Category C gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Interstitial lung disease, nephrotic syndrome, and epidermolysis bullosa, congenital						False	3	100;0;0	0.280	True		ENSG00000005884	ENSG00000005884	HGNC:6139													
ITGB4	gene	ITGB4	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Epidermolysis bullosa, junctional, with pyloric atresia						False	3	0;0;0	0.280	False		ENSG00000132470	ENSG00000132470	HGNC:6158													
IVD	gene	IVD	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Isovaleric acidemia						False	3	0;0;0	0.280	False		ENSG00000128928	ENSG00000128928	HGNC:6186													
IYD	gene	IYD	BabySeq Category C gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Thyroid dyshormonogenesis 4, MIM# 274800				18434651;18765512;30240412		False	3	100;0;0	0.280	True		ENSG00000009765	ENSG00000009765	HGNC:21071													
JAG1	gene	JAG1	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Alagille syndrome						False	3	0;0;0	0.280	False		ENSG00000101384	ENSG00000101384	HGNC:6188													
JAK3	gene	JAK3	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	SCID, autosomal recessive, T-negative/B-positive type						False	3	0;0;0	0.280	False		ENSG00000105639	ENSG00000105639	HGNC:6193													
KANSL1	gene	KANSL1	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Koolen-De Vries syndrome						False	3	0;0;0	0.280	False		ENSG00000120071	ENSG00000120071	HGNC:24565													
KARS	gene	KARS	BabySeq Category C gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	deafness with progressive leukodystrophy				30737337;31116475;30715177		False	3	100;0;0	0.280	True		ENSG00000065427	ENSG00000065427	HGNC:6215													
KAT6B	gene	KAT6B	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	SBBYSS syndrome MIM #603736;Genitopatellar syndrome MIM #606170						False	3	100;0;0	0.280	True		ENSG00000156650	ENSG00000156650	HGNC:17582													
KBTBD13	gene	KBTBD13	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Nemaline myopathy						False	3	0;0;0	0.280	False		ENSG00000234438	ENSG00000234438	HGNC:37227													
KCNA1	gene	KCNA1	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Episodic ataxia type 1						False	3	0;0;0	0.280	False		ENSG00000111262	ENSG00000111262	HGNC:6218													
KCNJ1	gene	KCNJ1	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Bartter syndrome						False	3	0;0;0	0.280	False		ENSG00000151704	ENSG00000151704	HGNC:6255													
KCNJ11	gene	KCNJ11	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Hyperinsulinemic hypoglycemia, familial						False	3	0;0;0	0.280	False		ENSG00000187486	ENSG00000187486	HGNC:6257													
KCNJ2	gene	KCNJ2	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Andersen cardiodysrhythmic periodic paralysis						False	3	0;0;0	0.280	False		ENSG00000123700	ENSG00000123700	HGNC:6263													
KCNQ4	gene	KCNQ4	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Deafness, autosomal dominant						False	3	0;0;0	0.280	False		ENSG00000117013	ENSG00000117013	HGNC:6298													
KCTD7	gene	KCTD7	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Epilepsy, progressive myoclonic						False	3	0;0;0	0.280	False		ENSG00000243335	ENSG00000243335	HGNC:21957													
KDM6A	gene	KDM6A	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Kabuki syndrome 2						False	3	0;0;0	0.280	False		ENSG00000147050	ENSG00000147050	HGNC:12637													
KIF21A	gene	KIF21A	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Fibrosis of extraocular muscles, congenital						False	3	0;0;0	0.280	False		ENSG00000139116	ENSG00000139116	HGNC:19349													
KIT	gene	KIT	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Piebaldism						False	3	0;0;0	0.280	False		ENSG00000157404	ENSG00000157404	HGNC:6342													
KLF1	gene	KLF1	BabySeq Category C gene;Expert Review Green	Additional findings_Paediatric		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Dyserythropoietic anaemia, congenital, type IV, MIM# 613673;MONDO:0013355				21055716;33339573;32815883;32221653;32032242;31818881		False	3	100;0;0	0.280	True		ENSG00000105610	ENSG00000105610	HGNC:6345													
KLHL40	gene	KLHL40	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Nemaline myopathy						False	3	0;0;0	0.280	False		ENSG00000157119	ENSG00000157119	HGNC:30372													
KLHL41	gene	KLHL41	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	BIALLELIC, autosomal or pseudoautosomal	Nemaline myopathy						False	3	0;0;0	0.280	False		ENSG00000239474	ENSG00000239474	HGNC:16905													
KMT2D	gene	KMT2D	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Kabuki syndrome 1						False	3	0;0;0	0.280	False		ENSG00000167548	ENSG00000167548	HGNC:7133													
KRAS	gene	KRAS	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Noonan syndrome						False	3	0;0;0	0.280	False		ENSG00000133703	ENSG00000133703	HGNC:6407													
KRT14	gene	KRT14	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Epidermolysis bullosa simplex						False	3	0;0;0	0.280	False		ENSG00000186847	ENSG00000186847	HGNC:6416													
KRT16	gene	KRT16	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Pachyonychia congenita						False	3	0;0;0	0.280	False		ENSG00000186832	ENSG00000186832	HGNC:6423													
KRT17	gene	KRT17	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Pachyonychia congenita						False	3	0;0;0	0.280	False		ENSG00000128422	ENSG00000128422	HGNC:6427													
KRT5	gene	KRT5	BabySeq Category A gene;Expert Review Green	Additional findings_Paediatric		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Epidermolysis bullosa simplex						False	3	0;0;0	0.280	False		ENSG00000186081	ENSG00000186081	HGNC:6442													
