Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ABL1	gene	ABL1	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Congenital heart defects and skeletal malformations syndrome MIM#617602;Human ABL1 Deficiency Syndrome (HADS)				PMID: 28288113;30855488;32643838;39155385;38743093		False	3	33;67;0	1.4452	True	Other	ENSG00000097007	ENSG00000097007	HGNC:76													
ACAD8	gene	ACAD8	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	Isobutyryl-CoA dehydrogenase deficiency MIM#611283				PMID: 34544473;12359132;17304052		False	3	100;0;0	1.4452	True		ENSG00000151498	ENSG00000151498	HGNC:87													
ACAD9	gene	ACAD9	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex I deficiency, nuclear type 20 MIM#611126				30025539		False	3	100;0;0	1.4452	True		ENSG00000177646	ENSG00000177646	HGNC:21497													
ACADM	gene	ACADM	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	Acyl-CoA dehydrogenase, medium chain, deficiency of, MIM# 201450						False	3	100;0;0	1.4452	True		ENSG00000117054	ENSG00000117054	HGNC:89													
ACADSB	gene	ACADSB	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	2-methylbutyrylglycinuria MIM#610006				PMID: 25778941;17945527		False	3	100;0;0	1.4452	True		ENSG00000196177	ENSG00000196177	HGNC:91													
ACADVL	gene	ACADVL	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	VLCAD deficiency, MIM# 201475						False	3	100;0;0	1.4452	True		ENSG00000072778	ENSG00000072778	HGNC:92													
ACAN	gene	ACAN	Expert list;Expert Review Green	Mendeliome			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	"Short stature and advanced bone age, with or without early-onset osteoarthritis and/or osteochondritis dissecans, OMIM#	165800;Spondyloepimetaphyseal dysplasia, aggrecan type	612813"				24762113;27870580;19110214;30124491;28331218;20137779		False	3	100;0;0	1.4452	True		ENSG00000157766	ENSG00000157766	HGNC:319													
ACAT1	gene	ACAT1	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	Alpha-methylacetoacetic aciduria, MIM#203750;Beta-ketothiolase deficiency MONDO:0008760						False	3	100;0;0	1.4452	True		ENSG00000075239	ENSG00000075239	HGNC:93													
ACBD5	gene	ACBD5	Expert list;Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	Retinal dystrophy with leukodystrophy, MIM# 618863				27799409;23105016;33427402		False	3	50;50;0	1.4452	True		ENSG00000107897	ENSG00000107897	HGNC:23338													
ACBD6	gene	ACBD6	Expert Review Green;Literature	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	Neurodevelopmental disorder with progressive movement abnormalities, MIM# 620785				36457943;21937992;35446914		False	3	100;0;0	1.4452	True		ENSG00000230124	ENSG00000230124	HGNC:23339													
